Nombre,Categoría,Declaración de seguridad,Clasificación 1,Clasificación 2,Clasificación 3
ixekizumab,do,El mecanismo de acción de ixekizumab sugiere un riesgo teórico de que su uso durante el embarazo pueda afectar la inmunidad neonatal.,Alergia y sistema inmunológico,Inmunomodificadores,
Vacuna contra la encefalitis japonesa (inactivada),B1,,Vacunas,Vacunas inactivadas,
"Vacuna contra la encefalitis japonesa (viva, atenuada)",B2,"Las vacunas de virus vivos disponibles actualmente no han causado efectos teratogénicos en humanos. Para obtener información más completa, consulte la publicación de ATAGI, «The Australian Immunisation Handbook».",Vacunas,Vacunas vivas atenuadas,
kanamicina,D,"Existe evidencia de una captación selectiva de aminoglucósidos por el riñón fetal, lo que resulta en daño (probablemente reversible) a las nefronas inmaduras. También se ha reportado daño al octavo par craneal tras la exposición intrauterina a algunos aminoglucósidos. Debido a su similitud química, todos los aminoglucósidos deben considerarse potencialmente nefrotóxicos y ototóxicos para el feto. Cabe destacar que las concentraciones sanguíneas terapéuticas en la madre no implican seguridad para el feto.",Antimicrobianos,Antibióticos,Aminoglucósidos
ketamina,B3,"Todos los anestésicos generales pueden producir depresión del sistema nervioso central y respiratoria en el recién nacido. En la práctica habitual, esto no parece ser un problema. Sin embargo, en el feto con problemas de salud, se debe considerar cuidadosamente esta posible depresión y la selección de fármacos, dosis y técnicas anestésicas específicas.",Medicamentos utilizados en anestesia,Anestésicos generales,
ketoconazol,B3,,Antimicrobianos,Agentes antimicóticos (ver también antimicóticos tópicos),
ketoprofeno,do,"Los antiinflamatorios no esteroideos (AINE) inhiben la síntesis de prostaglandinas, lo que puede afectar negativamente al embarazo. Consulte los textos pertinentes en la información del producto de cada AINE para obtener información sobre su idoneidad para su uso durante el embarazo. Estudios epidemiológicos sugieren un mayor riesgo de aborto espontáneo tras el uso de inhibidores de la síntesis de prostaglandinas al inicio del embarazo. Su administración durante la última etapa del embarazo puede causar el cierre del conducto arterioso fetal, oligohidramnios, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con AINE durante el último trimestre del embarazo solo debe administrarse bajo indicación médica válida. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema musculoesquelético,Medicamentos antiinflamatorios no esteroides (AINE),
ketorolaco,do,"Los antiinflamatorios no esteroideos (AINE) inhiben la síntesis de prostaglandinas, lo que puede afectar negativamente al embarazo. Consulte los textos pertinentes en la información del producto de cada AINE para obtener información sobre su idoneidad para su uso durante el embarazo. Estudios epidemiológicos sugieren un mayor riesgo de aborto espontáneo tras el uso de inhibidores de la síntesis de prostaglandinas al inicio del embarazo. Su administración durante la última etapa del embarazo puede causar el cierre del conducto arterioso fetal, oligohidramnios, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con AINE durante el último trimestre del embarazo solo debe administrarse bajo indicación médica válida. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema musculoesquelético,Medicamentos antiinflamatorios no esteroides (AINE),
ketotifeno,B1,,Medicamentos oftálmicos,,
labetalol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Sistema cardiovascular,Agentes bloqueantes beta-adrenérgicos,
lacosamida,B3,"El riesgo de tener un hijo con anomalías como resultado de la medicación antiepiléptica es ampliamente superado por los peligros para la madre y el feto de la epilepsia no controlada. Se recomienda que: • las mujeres que toman fármacos antiepilépticos (FAE) reciban asesoramiento pregestacional sobre el riesgo de anomalías fetales; • los FAE deben continuarse durante el embarazo y, si es posible, debe utilizarse la monoterapia a la dosis mínima eficaz, ya que el riesgo de anomalías es mayor en mujeres que toman medicación combinada; • la suplementación con ácido fólico (5 mg) debe iniciarse cuatro semanas antes y continuarse durante doce semanas después de la concepción; • se debe ofrecer diagnóstico prenatal especializado, incluyendo una ecografía detallada a mediados del trimestre.",Sistema nervioso central,Anticonvulsivos/antiepilépticos,
lamivudina,B3,,Antimicrobianos,agentes antivirales,
lamotrigina,D,"En comparación con los anticonvulsivos convencionales, se desconoce el alcance del riesgo de este fármaco.",Sistema nervioso central,Anticonvulsivos/antiepilépticos,
lanadelumab,B1,,Sistema cardiovascular,,
lanreotida,do,"Este medicamento puede causar retraso en el crecimiento fetal, probablemente debido a la supresión de la hormona del crecimiento.",Sistema endocrino,hormonas pituitarias,
lansoprazol,B3,,Sistema alimentario,"Hiperacidez, reflujo, úlceras",
lantano,B3,," Agentes desintoxicantes, antídotos",,
lapatinib,do,Este fármaco inhibe el EGFR. El EGFR desempeña un papel importante en el desarrollo embriofetal.,Agentes antineoplásicos,Inhibidores de la tirosina quinasa,
laronidasa,B2,,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,
larotrectinib,D,"Según su mecanismo de acción y los hallazgos en estudios con animales, larotrectinib puede causar malformaciones fetales.",Agentes antineoplásicos,Inhibidores de la tirosina quinasa,
latanoprost,B3,,Medicamentos oftálmicos,,
latanoprost/timolol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Medicamentos oftálmicos,,
lauromacrogol,B3,,Sistema cardiovascular,,
lebrikizumab,B1,,Medicamentos utilizados en dermatología,Sistémico,
ledipasvir,B1,,Antimicrobianos,agentes antivirales,
ledipasvir/sofosbuvir,B1,,Antimicrobianos,agentes antivirales,
ledipasvir/sofosbuvir con ribavirina,incógnita,"Aunque no existen datos pertinentes en humanos, se ha demostrado que la ribavirina es teratogénica y/o embrioletal en casi todas las especies en las que se ha probado. Se observaron malformaciones en el cráneo, paladar, ojos, mandíbula, esqueleto y tracto gastrointestinal en estudios con animales. La supervivencia de fetos y crías se redujo.",Antimicrobianos,agentes antivirales,
leflunomida,incógnita,Este medicamento puede causar daño fetal en humanos. No debe administrarse a mujeres embarazadas ni a mujeres en edad fértil que no utilicen métodos anticonceptivos eficaces durante el tratamiento con este medicamento ni durante un período posterior. Debe descartarse el embarazo antes de iniciar el tratamiento con este medicamento.,Alergia y sistema inmunológico,Inmunomodificadores,
lemborexant,B3,,Sistema nervioso central,Hipnóticos y sedantes,
lemborexant,B3,,Sistema nervioso central,,
lenacapavir sódico,B1,,Antimicrobianos,agentes antivirales,
lenalidomida,incógnita,"Este medicamento está estructuralmente relacionado con la talidomida. La talidomida es un teratógeno humano conocido que causa defectos congénitos graves y potencialmente mortales. Si se toma lenalidomida durante el embarazo, puede causar defectos congénitos o la muerte del feto. Se debe aconsejar a las mujeres que eviten el embarazo mientras toman lenalidomida y durante las cuatro semanas posteriores a la interrupción del medicamento.",Alergia y sistema inmunológico,Inmunomodificadores,
lenograstim,B3,,Sangre y sistema hematopoyético,Agentes hematopoyéticos,
 lenvatinib,D,La angiogénesis desempeña un papel fundamental en el desarrollo embriofetal. Los inhibidores del receptor VEGF inhiben la angiogénesis y pueden causar daño fetal cuando se administran a mujeres embarazadas.,Agentes antineoplásicos,Inhibidores de la tirosina quinasa,
lepirudina,B3,Todos los anticoagulantes y agentes trombolíticos pueden producir hemorragia placentaria y posterior prematuridad y pérdida fetal.,Sistema cardiovascular,Anticoagulantes y agentes trombolíticos,
lercanidipino,do, Los bloqueadores de los canales de calcio tienen el potencial de producir hipoxia fetal asociada con hipotensión materna.,Sistema cardiovascular,Antihipertensivos,bloqueadores de los canales de calcio
lesinurad,B1,,Sistema musculoesquelético,Agentes utilizados en la gota y la hiperuricemia,
letermovir,B3,,Antimicrobianos,agentes antivirales,
letrozol,D,Este fármaco altera el metabolismo dependiente de estrógenos y está asociado con malformaciones fetales y mortalidad en animales.,Agentes antineoplásicos,Agentes antineoplásicos hormonales,
leuprorelina,D,Existe un riesgo teórico de aborto o anomalía fetal si se utilizan agonistas de GnRH durante el embarazo.,Agentes antineoplásicos,Agentes antineoplásicos hormonales,
levamisol,B3,,Alergia y sistema inmunológico,Inmunomodificadores,
levetiracetam,B3,"En comparación con los anticonvulsivos convencionales, se desconoce el alcance del riesgo de este fármaco.",Sistema nervioso central,Anticonvulsivos/antiepilépticos,
levobunolol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Sistema cardiovascular,Agentes bloqueantes beta-adrenérgicos,
levobunolol (oftálmico),do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Medicamentos oftálmicos,,
levobupivacaína,B3,,Medicamentos utilizados en anestesia,Anestésicos locales,
levocabastina,B3,"Es poco probable que una exposición involuntaria a corto plazo durante el primer trimestre cause un riesgo para el feto, pero se ha demostrado que es teratogénica en dos especies de animales y hasta que se disponga de datos en humanos, se debe sospechar que es teratogénica.",Alergia y sistema inmunológico,Antihistamínicos,
levocabastina (oftálmica),B3,,Medicamentos oftálmicos,,
levocetirizina,B2,,Alergia y sistema inmunológico,Antihistamínicos,
levodopa,B3,,Sistema nervioso central,Agentes antiparkinsonianos,
levonorgestrel,B3,,Agentes anticonceptivos,Anticonceptivos orales,
levonorgestrel,D,,Agentes anticonceptivos,Anticonceptivos de emergencia,
levonorgestrel/etinilestradiol,B3,,Agentes anticonceptivos,Anticonceptivos orales,
lidocaína,A,,Sistema cardiovascular,Antiarrítmicos,
lidocaína,A,,Medicamentos utilizados en anestesia,Anestésicos locales,
lifitegrast,B1,,Medicamentos oftálmicos,,
lignocaína (lidocaína),A,,Sistema cardiovascular,Antiarrítmicos,
lignocaína (lidocaína),A,,Medicamentos utilizados en anestesia,Anestésicos locales,
linagliptina,B3,,Sistema endocrino,agentes hipoglucemiantes,
linagliptina/metformina,do,Es importante lograr una normoglucemia estricta durante el embarazo.,Sistema endocrino,agentes hipoglucemiantes,
lincomicina,A,,Antimicrobianos,Antibióticos,
lindano,B3,"El lindano penetra la piel humana y se ha reportado que causa signos de irritación del sistema nervioso central (SNC). Debido a este potencial tóxico, es preferible, siempre que sea posible, usar otros medicamentos durante el embarazo.",Medicamentos utilizados en Dermatología,antiparasitarios tópicos,
linezolida,B3,,Antimicrobianos,Antibióticos,
liotironina,A,,Sistema endocrino,hormonas tiroideas,
lipegfilgrastim,B3,,Sangre y sistema hematopoyético,Agentes hematopoyéticos,
liraglutida (rys),B3,,Sistema endocrino,agentes hipoglucemiantes,
dimesilato de lisdexanfetamina,B3,,Sistema nervioso central,estimulantes del sistema nervioso central,
lisinopril,D,"Cuando se toman durante el segundo y tercer trimestre, los inhibidores de la ECA causan diversas anomalías, como disfunción renal y oligohidramnios. Estas pueden estar asociadas con la muerte fetal intrauterina. Si bien no se han relacionado efectos adversos fetales con el uso de inhibidores de la ECA durante el primer trimestre, el número de exposiciones reportadas es demasiado pequeño para determinar de forma concluyente su seguridad durante dicho período. Las mujeres embarazadas que toman inhibidores de la ECA deben cambiar su medicación antihipertensiva lo antes posible para mantener la presión arterial normal. En general, se recomienda no usar inhibidores de la ECA para el tratamiento de la hipertensión en mujeres con probabilidad de embarazo.",Sistema cardiovascular,Antihipertensivos,Inhibidores de la enzima convertidora de angiotensina (ECA)
sales de litio,D,El riesgo de defectos congénitos puede aumentar cuando se usa litio durante el primer trimestre. Se debe considerar una ecografía detallada y una ecocardiografía fetal en el segundo trimestre para las mujeres que hayan recibido tratamiento con litio durante el primer trimestre del embarazo. El recién nacido puede presentar signos de toxicidad por litio.,Sistema nervioso central,fármacos antipsicóticos,
 lixisenatida con insulina glargina,B3,,Sistema endocrino,agentes hipoglucemiantes,
yodoxamida trometamol,B1,,Medicamentos oftálmicos,,
lomustina,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes alquilantes,
lonoctocog alfa,B2,,Sistema cardiovascular,Agentes hemostáticos,
loperamida,B3,,Sistema alimentario,Antidiarreicos,
lopinavir con ritonavir,B3,,Antimicrobianos,agentes antivirales,
loracarbef,B1,,Antimicrobianos,Antibióticos,Cefalosporinas
loratadina,B1,,Alergia y sistema inmunológico,Antihistamínicos,
lorazepam,do,"Las benzodiazepinas pueden causar hipotonía, depresión respiratoria e hipotermia en el recién nacido si se administran en dosis altas durante el parto. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de esta clase de fármacos.",Sistema nervioso central,Benzodiazepinas,
lorlatinib,D," Basándose en su mecanismo de acción y los hallazgos en estudios con animales, lorlatinib puede causar daño embriofetal (incluyendo embrioletalidad, abortos y malformaciones).",Agentes antineoplásicos,Inhibidores de la tirosina quinasa,
losartán,D,"Cuando se usan durante el segundo y tercer trimestre del embarazo, los medicamentos que actúan directamente sobre el sistema renina-angiotensina pueden causar lesiones e incluso la muerte del feto en desarrollo. Si bien no se han relacionado efectos adversos fetales con el uso de ARA en el primer trimestre, el número de exposiciones reportadas es demasiado pequeño para determinar de forma concluyente su seguridad durante el primer trimestre. Las mujeres embarazadas que toman ARA deben cambiar su medicación antihipertensiva lo antes posible para mantener la presión arterial normal. En general, se recomienda no usar ARA para el manejo de la hipertensión en mujeres con probabilidad de embarazo.",Sistema cardiovascular,Antihipertensivos,Antagonistas del receptor de angiotensina II e inhibidores de la renina
lumacaftor/ivacaftor,B3,,Sistema respiratorio,,
lumiracoxib,do,"Los antiinflamatorios no esteroideos (AINE) inhiben la síntesis de prostaglandinas, lo que puede afectar negativamente al embarazo. Consulte los textos pertinentes en la información del producto de cada AINE para obtener información sobre su idoneidad para su uso durante el embarazo. Estudios epidemiológicos sugieren un mayor riesgo de aborto espontáneo tras el uso de inhibidores de la síntesis de prostaglandinas al inicio del embarazo. Su administración durante la última etapa del embarazo puede causar el cierre del conducto arterioso fetal, oligohidramnios, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con AINE durante el último trimestre del embarazo solo debe administrarse bajo indicación médica válida. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema musculoesquelético,Medicamentos antiinflamatorios no esteroides (AINE),
clorhidrato de lurasidona,B1,,Sistema nervioso central,fármacos antipsicóticos,
lurbinectedina,D, Este fármaco es embriotóxico y fetotóxico cuando se administra a ratas preñadas.,Agentes antineoplásicos,,
 lutecio (177Lu),incógnita,La teratogenicidad es un efecto de clase de los agentes radiactivos que induce múltiples anomalías fetales. Es probable que los fármacos radiactivos causen defectos congénitos importantes si se utilizan durante el embarazo.,Agentes antineoplásicos,,
lutropina alfa,B3,,Sistema endocrino,hormonas pituitarias,
lipresina,B2,,Sistema endocrino,Antidiuréticos,
macitentan,incógnita,"La teratogenicidad es un efecto de clase de estos agentes, que induce múltiples anomalías fetales en estudios con animales. Es probable que estos fármacos causen defectos congénitos importantes si se utilizan durante el embarazo.",Sistema cardiovascular,Antagonista del receptor de endotelina,
macrogol,B1,,Sistema alimentario,Laxantes,
malatión,B2,,Medicamentos utilizados en Dermatología,antiparasitarios tópicos,
manitol,B2,,Sistema cardiovascular,,
maraviroc,B1,,Antimicrobianos,agentes antivirales,
 maribavir,D, Se ha demostrado que el maribavir reduce la supervivencia embriofetal y retrasa el desarrollo de las crías en ratas.,Antimicrobianos,agentes antivirales,
Mazindol,B3,No se recomienda la reducción de peso con medicamentos supresores del apetito durante el embarazo.,Metabolismo,Agentes anoréxicos y reductores de peso,
"vacuna contra el sarampión, las paperas y la rubéola",B2,"Las mujeres en edad fértil deben someterse a una prueba de anticuerpos contra la rubéola antes del embarazo. A todas las mujeres seronegativas, siempre que no estén embarazadas, se les debe ofrecer la vacuna contra la rubéola. Quienes administren la vacuna deben tener cuidado de indicar a las mujeres a quienes se la administren que no deben embarazarse durante al menos dos ciclos menstruales completos, ya que la vacuna contra la rubéola puede causar infección fetal. Sin embargo, hasta la fecha, no se han registrado defectos congénitos similares a la rubéola en los nacidos vivos (unos 400) de madres seronegativas vacunadas durante o justo antes del embarazo. Según esta experiencia, la vacunación contra la rubéola durante el embarazo no debe ser motivo para recomendar la interrupción del embarazo.",Vacunas,Vacunas vivas atenuadas,
"vacuna contra el sarampión, las paperas, la rubéola y la varicela",B2,"Las mujeres en edad fértil deben someterse a una prueba de anticuerpos contra la rubéola antes del embarazo. A todas las mujeres seronegativas, siempre que no estén embarazadas, se les debe ofrecer la vacuna contra la rubéola. Quienes administren la vacuna deben tener cuidado de indicar a las mujeres a quienes se la administren que no deben embarazarse durante al menos dos ciclos menstruales completos, ya que la vacuna contra la rubéola puede causar infección fetal. Sin embargo, hasta la fecha, no se han registrado defectos congénitos similares a la rubéola en los nacidos vivos (unos 400) de madres seronegativas vacunadas durante o justo antes del embarazo. Según esta experiencia, la vacunación contra la rubéola durante el embarazo no debe ser motivo para recomendar la interrupción del embarazo.",Vacunas,Vacunas vivas atenuadas,
mebendazol,B3,,Antimicrobianos,Antihelmínticos,
mebeverina,B2,,Sistema alimentario,Antiespasmódicos,
mecasermina,B3,,Sistema endocrino,Agentes hormonales,
medroxiprogesterona (dosis anticonceptiva IM),A,,Agentes anticonceptivos,,
medroxiprogesterona (dosis alta oral y subcutánea),D,"Si la madre los toma a las 8 semanas o más después de la concepción, estos medicamentos pueden causar virilización del feto. Este efecto depende de la dosis. Antes de las 8 semanas posteriores a la concepción, no tienen efectos virilizantes.",Sistema endocrino,Progestágenos (ver también anticonceptivos orales),
medroxiprogesterona (dosis altas orales e IM),D,Puede causar virilización del feto si se toma durante o después de las 8 semanas posteriores a la concepción.,Agentes antineoplásicos,Agentes antineoplásicos hormonales,
ácido mefenámico,do,"Los antiinflamatorios no esteroideos (AINE) inhiben la síntesis de prostaglandinas, lo que puede afectar negativamente al embarazo. Consulte los textos pertinentes en la información del producto de cada AINE para obtener información sobre su idoneidad para su uso durante el embarazo. Estudios epidemiológicos sugieren un mayor riesgo de aborto espontáneo tras el uso de inhibidores de la síntesis de prostaglandinas al inicio del embarazo. Su administración durante la última etapa del embarazo puede causar el cierre del conducto arterioso fetal, oligohidramnios, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con AINE durante el último trimestre del embarazo solo debe administrarse bajo indicación médica válida. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema musculoesquelético,Medicamentos antiinflamatorios no esteroides (AINE),
mefloquina,B3,El uso de este fármaco en el tratamiento de la malaria se acepta porque el pequeño riesgo para el feto se ve compensado por los beneficios para la madre y el feto. La profilaxis en situaciones de alto riesgo también está justificada.,Antimicrobianos,Antipalúdicos,
mefrusida,do,"Las tiazidas, los diuréticos relacionados y los diuréticos de asa pueden causar alteraciones electrolíticas en el feto. Se ha reportado trombocitopenia neonatal con el uso de tiazidas y diuréticos relacionados. Los diuréticos de asa, como la furosemida y la bumetanida, probablemente también estén asociados con este riesgo. Durante la última etapa del embarazo, este tipo de productos solo debe administrarse bajo indicación médica y en la dosis mínima eficaz.",Sistema cardiovascular,Diuréticos,"Tiazidas, diuréticos relacionados y diuréticos de asa"
megestrol,D,"Si la madre los toma a las 8 semanas o más después de la concepción, estos medicamentos pueden causar virilización del feto. Este efecto depende de la dosis. Antes de las 8 semanas posteriores a la concepción, no tienen efectos virilizantes.",Sistema endocrino,Progestágenos (ver también anticonceptivos orales),
melatonina,B3,,Sistema nervioso central,Hipnóticos y sedantes,
meloxicam,do,"Los antiinflamatorios no esteroideos (AINE) inhiben la síntesis de prostaglandinas, lo que puede afectar negativamente al embarazo. Consulte los textos pertinentes en la información del producto de cada AINE para obtener información sobre su idoneidad para su uso durante el embarazo. Estudios epidemiológicos sugieren un mayor riesgo de aborto espontáneo tras el uso de inhibidores de la síntesis de prostaglandinas al inicio del embarazo. Su administración durante la última etapa del embarazo puede causar el cierre del conducto arterioso fetal, oligohidramnios, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con AINE durante el último trimestre del embarazo solo debe administrarse bajo indicación médica válida. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema musculoesquelético,Medicamentos antiinflamatorios no esteroides (AINE),
melfalán,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes alquilantes,
memantina,B2,,Sistema nervioso central,,
vacuna contra el meningococo del grupo B,B1,,Vacunas,Vacunas de subunidades,Vacunas conjugadas de polisacáridos
vacuna conjugada contra el meningococo del grupo C,B2,,Vacunas,Vacunas de subunidades,Vacunas conjugadas de polisacáridos
"vacuna polisacárida o conjugada contra los serogrupos meningocócicos A, C, W-135 e Y",B1 o B2 según la marca,,Vacunas,Vacunas de subunidades,Vacunas conjugadas de polisacáridos
mepivacaína,A,,Medicamentos utilizados en anestesia,Anestésicos locales,
mepolizumab,B1,,Sistema respiratorio,,
meprobamato,do,"Este medicamento puede causar hipotensión, depresión respiratoria e hipotermia en el recién nacido.",Sistema nervioso central,Hipnóticos y sedantes,
bitartrato de mercaptamina,B3,,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,
mercaptopurina,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Antimetabolitos,
meropenem,B2,,Antimicrobianos,Antibióticos,
mesalazina,do,"Los antiinflamatorios no esteroideos inhiben la síntesis de prostaglandinas y, al administrarse durante la última etapa del embarazo, pueden causar el cierre del conducto arterioso fetal, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con antiinflamatorios no esteroideos durante el último trimestre del embarazo solo debe administrarse bajo indicación médica. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema alimentario,Antidiarreicos,
mesna,B1,,Agentes antineoplásicos,Terapia de apoyo no citotóxica,
mesterolona,incógnita," Los esteroides anabólicos y otras sustancias con efectos androgénicos pueden tener un efecto virilizante en el feto femenino y deben evitarse durante el embarazo. Este medicamento es solo para uso en varones. En estudios con animales, inhibe la espermatogénesis.",Sistema endocrino,Andrógenos y esteroides anabólicos,
mestranol,B3,,Sistema endocrino,Estrógenos (ver también anticonceptivos orales),
metaraminol,do,"Este medicamento puede causar hipoxia fetal al contraer los vasos uterinos, limitando así la perfusión placentaria.",Sistema cardiovascular,estimulantes adrenérgicos,
metformina,do,Es importante lograr una normoglucemia estricta durante el embarazo.,Sistema endocrino,agentes hipoglucemiantes,
metaciclina,D,"Las tetraciclinas son seguras para su uso durante las primeras 18 semanas de embarazo (16 semanas después de la concepción), después de lo cual provocan decoloración de los dientes del bebé.",Antimicrobianos,Antibióticos,Tetraciclinas
metadona,do,Los analgésicos narcóticos pueden causar depresión respiratoria en recién nacidos. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de este fármaco.,Agentes utilizados en estados de dependencia,,
metadona,do,Los analgésicos opioides pueden causar depresión respiratoria en recién nacidos. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de este tipo de fármacos.,Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes antiinflamatorios no esteroides),analgésicos opioides
metdilazina,B2,,Alergia y sistema inmunológico,Antihistamínicos,
metenamina,A,,Sistema genitourinario,antisépticos urinarios,
metenolona,D,Los esteroides anabólicos y otras sustancias con efectos androgénicos pueden tener un efecto virilizante en el feto femenino y deben evitarse durante el embarazo.,Sistema endocrino,Andrógenos y esteroides anabólicos,
metocarbamol,B2,,Sistema musculoesquelético,relajantes musculares,
metohexitona,B2,"Todos los anestésicos generales pueden producir depresión del sistema nervioso central y respiratoria en el recién nacido. En la práctica habitual, esto no parece ser un problema. Sin embargo, en el feto con problemas de salud, se debe considerar cuidadosamente esta posible depresión y la selección de fármacos, dosis y técnicas anestésicas específicas.",Medicamentos utilizados en anestesia,Anestésicos generales,
metotrexato,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Antimetabolitos,
metoxsaleno,B2,,Medicamentos utilizados en Dermatología,Actual,
metoxsaleno (fotoféresis extracorpórea ECP),D,"Cuando se administró a ratas durante la organogénesis, el metoxsaleno causó una toxicidad fetal significativa (no para inyección directa en pacientes; solo para fotoféresis extracorpórea de sangre enriquecida con leucocitos en una bolsa de fotoactivación).",Alergia y sistema inmunológico,,
metoxipolietilenglicol-epoetina beta,B3,,Sangre y sistema hematopoyético,Agentes hematopoyéticos,
metoxiflurano,do,"Todos los anestésicos generales pueden producir depresión del sistema nervioso central y respiratoria en el recién nacido. En la práctica habitual, esto no parece ser un problema. Sin embargo, en el feto con problemas de salud, se debe considerar cuidadosamente esta posible depresión y la selección de fármacos, dosis y técnicas anestésicas específicas.",Medicamentos utilizados en anestesia,Anestésicos generales,
metsuximida,D,"En comparación con los anticonvulsivos convencionales, se desconoce el alcance del riesgo de este fármaco.",Sistema nervioso central,Anticonvulsivos/antiepilépticos,
meticlotiazida,do,"Las tiazidas, los diuréticos relacionados y los diuréticos de asa pueden causar alteraciones electrolíticas en el feto. Se ha reportado trombocitopenia neonatal con el uso de tiazidas y diuréticos relacionados. Los diuréticos de asa, como la furosemida y la bumetanida, probablemente también estén asociados con este riesgo. Durante la última etapa del embarazo, este tipo de productos solo debe administrarse bajo indicación médica y en la dosis mínima eficaz.",Sistema cardiovascular,Diuréticos,"Tiazidas, diuréticos relacionados y diuréticos de asa"
aminolevulinato de metilo,B2,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,,
metildopa,A,,Sistema cardiovascular,Antihipertensivos,
azul de metileno,D, Se han notificado casos de anemia hemolítica e hiperbilirrubinemia en neonatos expuestos al azul de metileno en la cavidad amniótica.,Sangre y sistema hematopoyético,,
metilnaltrexona,B1,,Sistema nervioso central,,
metilfenidato,D,"La dosificación en conejos produjo efectos teratogénicos a dosis aproximadamente 5 veces superiores a las observadas en humanos que recibieron la dosis máxima recomendada. La dosificación en ratas desde el inicio de la gestación hasta el destete redujo el peso de las crías y produjo alteraciones marginales en la función neuromotora de las crías a dosis aproximadamente 3-6 veces superiores a la dosis clínica máxima recomendada en mg/m². La dosificación en ratas jóvenes macho y hembra desde el destete, pasando por el apareamiento, la gestación y la lactancia hasta el destete de las crías, se asoció con una reducción de la ganancia de peso corporal y de la actividad motora en los machos, así como con una reducción del peso de las crías y de la supervivencia posnatal, a dosis de 1 a 3 veces superiores a las esperadas en adultos o niños que recibieron la dosis clínica máxima recomendada. No se ha establecido la seguridad del metilfenidato para su uso durante el embarazo humano. Se han identificado casos de malformaciones cardíacas fetales en amplios estudios observacionales. No se debe prescribir metilfenidato a mujeres embarazadas a menos que, a juicio del médico, los posibles beneficios superen los posibles riesgos.",Sistema nervioso central,estimulantes del sistema nervioso central,
metilfenobarbital,D,"El uso de primidona, fenobarbitona o metilfenobarbitona durante el embarazo se ha asociado con defectos craneofaciales menores, hipoplasia ungueal y discapacidad del desarrollo. Su uso durante el embarazo, solo o en combinación con otros anticonvulsivos, puede causar defectos de coagulación en el recién nacido que pueden prevenirse mediante la administración profiláctica de vitamina K a la madre antes del parto. El riesgo de tener un hijo anormal como resultado de la medicación antiepiléptica es ampliamente superado por los peligros para la madre y el feto de la epilepsia no controlada. Se recomienda que: • las mujeres que toman medicamentos antiepilépticos (AED) reciban asesoramiento previo al embarazo con respecto al riesgo de anomalías fetales; • los AED deben continuarse durante el embarazo y la monoterapia debe usarse si es posible a la dosis efectiva más baja, ya que el riesgo de anomalía es mayor en mujeres que toman medicación combinada; • la suplementación con ácido fólico (5 mg) debe comenzar cuatro semanas antes y continuar durante doce semanas después de la concepción; • Se debe ofrecer diagnóstico prenatal especializado, incluida una ecografía detallada a mediados del trimestre.",Sistema nervioso central,Anticonvulsivos/antiepilépticos,
